unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326247.3850539,367187,137.9,3529.89453125,76,0,276426752,190,11
1789326248.3856034,367187,127.9,3529.89453125,76,0,276426752,190,11
1789326249.3859863,367187,168.9,3529.984375,76,0,276426752,190,11
1789326250.3862646,367187,164.0,3529.984375,76,0,276426752,190,11
1789326251.3866622,367187,122.0,3529.984375,76,0,276426752,190,11
1789326252.3870525,367187,192.9,3530.19921875,76,0,276426752,190,11
1789326253.3873425,367187,153.0,3530.19921875,76,0,276426752,190,11
1789326254.3877332,367187,134.9,3530.19921875,76,0,276426752,190,11
1789326255.388139,367187,145.9,3530.19921875,76,0,276426752,190,11
1789326256.3885477,367187,110.0,3530.26171875,76,0,276426752,190,11
1789326257.3888986,367187,187.9,3530.36328125,77,0,276430848,190,11
1789326258.3892133,367187,190.9,3530.36328125,77,0,276430848,190,11
1789326259.3895078,367187,167.0,3530.58984375,77,0,276430848,190,11
1789326260.3898935,367187,188.9,3547.0078125,77,0,276430848,190,11
1789326261.3903008,367187,240.9,3547.0078125,77,0,276430848,190,11
1789326262.3907049,367187,285.9,3576.55078125,77,0,276430848,190,11
1789326263.391127,367187,297.9,3585.45703125,76,0,276430848,190,11
1789326264.391412,367187,222.9,3660.609375,76,0,276430848,190,11
1789326265.391802,367187,122.0,3660.7109375,75,0,276430848,190,11
1789326266.3920896,367187,114.0,3660.7109375,75,0,276430848,190,11
1789326267.3923573,367187,184.0,3685.1015625,76,0,399306752,191,11
1789326268.392759,367187,142.9,3735.1953125,76,0,399306752,191,11
1789326269.3931055,367187,112.0,3741.44921875,76,0,399306752,191,11
1789326270.3933802,367187,111.0,3741.44921875,76,0,399306752,191,11
1789326271.393679,367187,108.0,3741.44921875,76,0,399306752,191,11
1789326272.394067,367187,118.0,3741.44921875,76,0,399306752,191,11
1789326273.3943286,367187,109.0,3741.44921875,76,0,399306752,191,11
1789326274.3946316,367187,120.0,3749.47265625,76,0,399306752,191,11
1789326275.3950014,367187,108.0,3749.47265625,76,0,399306752,191,11
1789326276.3952615,367187,114.0,3749.47265625,76,0,399306752,191,11
1789326277.3955512,367187,160.0,3750.390625,75,0,399306752,191,11
1789326278.3958664,367187,118.0,3750.40234375,75,0,399306752,191,11
1789326279.3961334,367187,109.0,3750.40234375,75,0,399306752,191,11
1789326280.396432,367187,110.0,3750.41796875,75,0,399306752,191,11
1789326281.396727,367187,130.0,3750.41796875,75,0,399306752,191,11
1789326282.3970444,367187,122.0,3750.515625,75,0,399306752,191,11
1789326283.3973145,367187,108.0,3750.62890625,75,0,399306752,191,11
1789326284.3976038,367187,108.0,3750.62890625,75,0,399306752,191,11
1789326285.3979661,367187,189.9,3865.8984375,76,0,406069248,192,11
1789326286.3982203,367187,134.0,3877.375,76,0,406069248,192,11
1789326287.3986158,367187,129.9,3891.27734375,76,0,406069248,192,11
1789326288.399068,367187,184.9,3891.64453125,76,0,406069248,192,11
1789326289.3994942,367187,108.0,3891.64453125,76,0,406069248,192,11
1789326290.399957,367187,112.9,3891.64453125,76,0,406069248,192,11
1789326291.4002953,367187,140.0,3885.90625,77,0,417976320,193,11
1789326292.4007,367187,158.9,3971.4921875,76,0,417976320,193,11
1789326293.4011502,367187,243.9,4011.875,76,0,417980416,193,11
1789326294.401579,367187,180.9,3992.2265625,76,0,417980416,193,11
1789326295.4019344,367187,119.0,3992.2265625,76,0,417980416,193,11
1789326296.402262,367187,169.9,3992.35546875,75,0,417980416,193,11
1789326297.4025836,367187,116.0,3992.35546875,75,0,417980416,193,11
1789326298.4029877,367187,136.9,3992.35546875,75,0,417980416,193,11
1789326299.403342,367187,125.0,3992.35546875,75,0,417980416,193,11
1789326300.4037218,367187,117.0,3992.35546875,75,0,417980416,193,11
1789326301.4040728,367187,115.0,3992.35546875,75,0,417980416,193,11
1789326302.404413,367187,114.0,3992.35546875,75,0,417980416,193,11
1789326303.4047983,367187,119.0,3992.35546875,75,0,417980416,193,11
1789326304.4051301,367187,128.0,3992.35546875,75,0,417980416,193,11
1789326305.4055414,367187,152.9,3999.2109375,75,0,417980416,193,11
1789326306.4059384,367187,162.9,4067.69921875,76,0,428605440,194,11
1789326307.4062955,367187,184.9,4106.5703125,76,0,428605440,194,11
1789326308.406667,367187,113.0,4106.5703125,76,0,428605440,194,11
1789326309.4070218,367187,116.0,4106.62109375,76,0,428605440,194,11
1789326310.4073584,367187,134.0,4069.84375,77,0,445394944,195,11
1789326311.4077306,367187,130.0,4069.94140625,77,0,445394944,195,11
1789326312.4080684,367187,132.0,4118.57421875,77,0,445394944,195,11
1789326313.408486,367187,139.9,4118.84765625,77,0,445394944,195,11
1789326314.4089375,367187,110.0,4118.84765625,77,0,445394944,195,11
1789326315.409348,367187,115.0,4118.84765625,77,0,445394944,195,11
1789326316.4097786,367187,120.9,4118.84765625,77,0,445394944,195,11
1789326317.4101467,367187,106.0,4118.84765625,77,0,445394944,195,11
1789326318.4105241,367187,144.9,4144.359375,75,0,445394944,195,11
1789326319.41091,367187,109.0,4144.359375,75,0,445394944,195,11
1789326320.4112487,367187,107.0,4144.359375,75,0,445394944,195,11
1789326321.4116235,367187,123.0,4144.359375,75,0,445394944,195,11
1789326322.4119961,367187,106.0,4144.359375,75,0,445394944,195,11
1789326323.4123368,367187,114.0,4144.359375,75,0,445394944,195,11
1789326324.4126794,367187,106.0,4144.359375,75,0,445394944,195,11
1789326325.4131246,367187,107.0,4144.359375,75,0,445394944,195,11
1789326326.413498,367187,109.0,4144.359375,75,0,445394944,195,11
1789326327.4138384,367187,120.0,4144.359375,75,0,445394944,195,11
1789326328.4142926,367187,109.0,4144.359375,75,0,445394944,195,11
1789326329.4146943,367187,113.0,4144.359375,75,0,445394944,195,11
1789326330.4151108,367187,109.0,4144.359375,75,0,445394944,195,11
1789326331.4154978,367187,107.0,4144.359375,75,0,445394944,195,11
1789326332.4159148,367187,107.0,4144.359375,75,0,445394944,195,11
1789326333.4162726,367187,177.9,4199.26953125,76,0,446312448,196,11
1789326334.4166706,367187,109.0,4199.26953125,76,0,446312448,196,11
1789326335.4170883,367187,117.0,4229.15234375,76,0,446312448,196,11
1789326336.417444,367187,115.0,4229.15234375,76,0,446312448,196,11
1789326337.4178622,367187,119.0,4229.15234375,76,0,446312448,196,11
1789326338.4182227,367187,106.0,4229.15234375,76,0,446312448,196,11
1789326339.4185853,367187,127.0,4158.33203125,77,0,462229504,197,11
1789326340.4190183,367187,111.0,4158.33203125,77,0,462229504,197,11
1789326341.419429,367187,118.0,4158.33203125,77,0,462229504,197,11
1789326342.4198775,367187,126.9,4158.33203125,77,0,462229504,197,11
1789326343.4202516,367187,144.9,4158.33203125,77,0,462229504,197,11
1789326344.4206848,367187,129.9,4158.33203125,77,0,462229504,197,11
1789326345.4211247,367187,213.9,4158.33203125,76,0,462229504,197,11
1789326346.4215333,367187,128.9,4168.6171875,76,0,462229504,197,11
1789326347.4219294,367187,125.0,4168.6171875,76,0,462229504,197,11
1789326348.4222763,367187,132.0,4198.50390625,76,0,462229504,197,11
1789326349.4227428,367187,156.9,4199.7265625,76,0,462229504,197,11
1789326350.4231694,367187,140.9,4211.203125,76,0,462229504,197,11
1789326351.423548,367187,146.9,4216.91796875,75,0,462233600,197,11
1789326352.4239728,367187,117.9,4216.91796875,75,0,462233600,197,11
1789326353.424312,367187,117.0,4216.91796875,75,0,462233600,197,11
1789326354.4246767,367187,168.9,4222.46875,75,0,471486464,198,11
1789326355.4250183,367187,106.0,4222.46875,75,0,471486464,198,11
1789326356.425381,367187,106.0,4222.46875,75,0,471486464,198,11
1789326357.4258153,367187,111.0,4222.46875,75,0,471486464,198,11
1789326358.4261703,367187,106.0,4222.46875,75,0,471486464,198,11
1789326359.4265227,367187,131.0,4222.46875,75,0,471486464,198,11
1789326360.4269962,367187,126.9,4081.859375,75,0,471486464,198,11
1789326361.427341,367187,123.0,4081.859375,75,0,471486464,198,11
1789326362.4277751,367187,130.9,4081.8671875,75,0,471486464,198,11
1789326363.42818,367187,107.0,4081.8671875,75,0,471486464,198,11
1789326364.4285867,367187,108.0,4081.8671875,75,0,471486464,198,11
1789326365.4289644,367187,111.0,4081.8671875,75,0,471486464,198,11
1789326366.429307,367187,174.9,4070.78125,76,0,483864576,199,11
1789326367.4296687,367187,196.9,4148.75390625,76,0,483864576,199,11
1789326368.4301515,367187,132.9,4166.78515625,76,0,483864576,199,11
1789326369.430641,367187,143.9,4181.28515625,76,0,489865216,200,11
1789326370.4310465,367187,182.9,4194.15625,76,0,489865216,200,11
1789326371.4315157,367187,133.9,4194.1328125,75,0,489865216,200,11
1789326372.4319766,367187,160.9,4194.1328125,75,0,489865216,200,11
1789326373.4324257,367187,150.9,4194.1328125,75,0,489865216,200,11
