case,file,pages,seconds,ocr_lines,tsr_calls,cell_calls,warnings
after-ocr-on-c4,2609.04184v1.pdf,8,28.381182183,239,1,1,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
after-ocr-on-c4,2609.04180v1.pdf,23,41.343461945,755,0,0,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
after-ocr-on-c4,2604.18584v1.pdf,32,63.159146143,882,2,2,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c4,2606.17056v1.pdf,25,53.196225157,831,0,0,"{""OcrPartialOverlap"": 4}"
after-ocr-on-c4,2609.04203v1.pdf,20,16.644601482,287,1,1,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
after-ocr-on-c5,2410.05779v3.pdf,16,31.864234414,291,0,0,"{""OcrPartialOverlap"": 28}"
after-ocr-on-c5,2412.05210v1.pdf,12,36.089709991,439,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
after-ocr-on-c5,2603.01919v2.pdf,23,54.13837303,1101,3,1,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c5,2604.18583v1.pdf,15,34.478013183,100,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-on-c5,2403.01632v4.pdf,47,70.429007853,417,0,0,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
after-ocr-on-c5,2604.21959v1.pdf,3,17.953335479,87,0,0,{}
after-ocr-on-c5,2303.18223v16.pdf,144,84.944067041,717,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
after-ocr-on-c5,2604.18584v1.pdf,32,71.3862542,882,2,2,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c5,2609.04184v1.pdf,8,42.141232062,239,1,1,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
after-ocr-on-c5,2609.04180v1.pdf,23,47.989727447,755,0,0,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
after-ocr-on-c5,2606.17056v1.pdf,25,55.805859565,831,0,0,"{""OcrPartialOverlap"": 4}"
after-ocr-on-c5,2609.04203v1.pdf,20,37.538036548,287,1,1,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
tsr-only-ocr-off-c2,2403.01632v4.pdf,47,6.786331305,0,7,7,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
tsr-only-ocr-off-c2,2410.05779v3.pdf,16,4.030675074,0,6,6,{}
tsr-only-ocr-off-c2,2412.05210v1.pdf,12,9.149168361,0,8,4,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
tsr-only-ocr-off-c2,2303.18223v16.pdf,144,20.556840495,0,30,24,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
tsr-only-ocr-off-c2,2604.18583v1.pdf,15,3.401082335,0,2,2,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
tsr-only-ocr-off-c2,2603.01919v2.pdf,23,8.012467003,0,20,18,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
tsr-only-ocr-off-c2,2604.21959v1.pdf,3,0.286772328,0,0,0,{}
tsr-only-ocr-off-c2,2604.18584v1.pdf,32,4.703787875,0,18,18,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
tsr-only-ocr-off-c2,2606.17056v1.pdf,25,4.288097559,0,4,4,{}
tsr-only-ocr-off-c2,2609.04180v1.pdf,23,4.957135055,0,12,12,"{""ContentLayoutOverlap"": 3}"
tsr-only-ocr-off-c2,2609.04184v1.pdf,8,1.25386658,0,7,7,"{""ContentLayoutOverlap"": 1}"
tsr-only-ocr-off-c2,2609.04203v1.pdf,20,3.16945906,0,19,19,"{""ContentLayoutOverlap"": 5}"
