unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789327045.3506234,389111,108.0,3125.25390625,75,0,192847872,174,12
1789327046.3511913,389111,108.9,3125.25390625,75,0,192847872,174,12
1789327047.3516994,389111,107.9,3125.25390625,75,0,192847872,174,12
1789327048.3522196,389111,124.9,3125.25390625,75,0,192847872,174,12
1789327049.3526566,389111,113.0,3125.2578125,75,0,192847872,174,12
1789327050.3531277,389111,106.9,3125.2578125,75,0,192847872,174,12
1789327051.353607,389111,106.9,3125.2578125,75,0,192847872,174,12
1789327052.3540401,389111,107.0,3125.2578125,75,0,192847872,174,12
1789327053.3545105,389111,118.9,3125.2578125,75,0,192847872,174,12
1789327054.3549821,389111,108.9,3125.2578125,75,0,192847872,174,12
1789327055.3553753,389111,101.0,3125.2578125,75,0,192847872,174,12
1789327056.3557801,389111,98.0,3125.2578125,75,0,192847872,174,12
1789327057.3561525,389111,100.0,3125.2578125,75,0,192847872,174,12
1789327058.356699,389111,98.9,3125.2578125,75,0,192847872,174,12
1789327059.357097,389111,99.0,3125.2578125,75,0,192847872,174,12
1789327060.3575268,389111,99.0,3125.2578125,75,0,192847872,174,12
1789327061.3579316,389111,121.0,3065.703125,75,0,208781312,175,12
1789327062.3583827,389111,102.0,3065.703125,75,0,208781312,175,12
1789327063.3588204,389111,130.9,3155.9765625,76,0,209698816,176,12
1789327064.3591647,389111,126.0,3167.078125,76,0,209698816,176,12
1789327065.35954,389111,120.0,3167.078125,76,0,209698816,176,12
1789327066.3599436,389111,117.0,3167.078125,76,0,209698816,176,12
1789327067.3604958,389111,113.9,3167.078125,76,0,209698816,176,12
1789327068.3609614,389111,129.9,3167.078125,76,0,209698816,176,12
1789327069.361425,389111,122.9,3167.078125,76,0,209698816,176,12
1789327070.3617244,389111,145.0,3167.078125,76,0,209698816,176,12
1789327071.3622026,389111,146.9,3167.23046875,75,0,209698816,176,12
1789327072.3627064,389111,128.9,3167.23046875,75,0,209698816,176,12
1789327073.3631258,389111,119.9,3167.23046875,75,0,209698816,176,12
1789327074.3635037,389111,128.0,3167.26953125,75,0,209698816,176,12
1789327075.3639395,389111,112.0,3167.3125,75,0,209698816,176,12
1789327076.3643422,389111,118.0,3197.63671875,76,0,218963968,177,12
1789327077.3648787,389111,165.9,3234.375,76,0,218963968,177,12
1789327078.365316,389111,162.9,3246.51171875,76,0,218963968,177,12
1789327079.3657172,389111,137.9,3246.51171875,76,0,218963968,177,12
1789327080.3661747,389111,126.9,3246.48828125,75,0,218963968,177,12
1789327081.366581,389111,108.0,3246.48828125,75,0,218963968,177,12
1789327082.36707,389111,106.9,3246.48828125,75,0,218963968,177,12
1789327083.3673456,389111,113.0,3246.48828125,75,0,218963968,177,12
1789327084.3677232,389111,106.0,3246.48828125,75,0,218963968,177,12
1789327085.3680518,389111,125.0,3246.48828125,75,0,218963968,177,12
1789327086.3683624,389111,119.0,3246.48828125,75,0,218963968,177,12
1789327087.3688662,389111,125.9,3246.48828125,75,0,218963968,177,12
1789327088.3691754,389111,107.0,3246.49609375,75,0,218963968,177,12
1789327089.369605,389111,126.9,3260.66796875,75,0,231407616,178,12
1789327090.3700287,389111,133.9,3260.66796875,75,0,231407616,178,12
1789327091.370404,389111,108.0,3260.66796875,75,0,231407616,178,12
1789327092.370771,389111,109.0,3260.66796875,75,0,231407616,178,12
1789327093.3711288,389111,110.0,3260.66796875,75,0,231407616,178,12
1789327094.371556,389111,129.9,3260.66796875,75,0,231411712,178,12
1789327095.371935,389111,118.0,3329.30859375,76,0,237395968,179,12
1789327096.3724387,389111,168.9,3390.53125,76,0,237395968,179,12
1789327097.3728147,389111,158.9,3390.53125,76,0,237395968,179,12
1789327098.3732936,389111,141.9,3390.5078125,75,0,237395968,179,12
1789327099.3737345,389111,116.9,3390.5078125,75,0,237395968,179,12
1789327100.374238,389111,179.9,3390.51171875,75,0,237395968,179,12
